"filename", "language", "C#", "JSON", "comment", "blank", "total"
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\TrainningGroundScrips\LookAtCamera.cs", "C#", 15, 0, 2, 4, 21
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\TrainningGroundScrips\RobotBillbord.cs", "C#", 24, 0, 1, 3, 28
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\TrainningGroundScrips\RobotController.cs", "C#", 215, 0, 15, 14, 244
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\TrainningGroundScrips\TranningGroundObjects.cs", "C#", 19, 0, 3, 4, 26
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\UI Scrips\Billboard.cs", "C#", 92, 0, 8, 6, 106
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\UI Scrips\GameInfoItem.cs", "C#", 32, 0, 1, 3, 36
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\UI Scrips\GameInfoManager.cs", "C#", 39, 0, 22, 6, 67
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\UI Scrips\GameSetting.cs", "C#", 22, 0, 3, 3, 28
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\UI Scrips\GuidanceText.cs", "C#", 139, 0, 32, 36, 207
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\UI Scrips\InGameUIManager.cs", "C#", 94, 0, 17, 11, 122
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\UI Scrips\ScoreBoard.cs", "C#", 66, 0, 3, 8, 77
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\UI Scrips\ScoreBoardManager.cs", "C#", 69, 0, 50, 10, 129
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\WallFoward.cs", "C#", 22, 0, 1, 4, 27
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\cameraDist.cs", "C#", 77, 0, 14, 8, 99
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\getspeed.cs", "C#", 23, 0, 9, 6, 38
"f:\Unity\Marbles Battle Royale (Chenli)\Marbles-Battle-Royale-Online-Game-Development\Marbles Battle Royale (Chenli)\Assets\Scripts\maincamera.cs", "C#", 124, 0, 13, 24, 161
"Total", "-", 3194, 10, 745, 609, 4558
